Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/10/2024,11/11/2024,TST* CODY'S PUBLIC HOUSE,Food & Drink,Sale,-14.02,
11/07/2024,11/10/2024,HOLIDAY CLUB,Food & Drink,Sale,-6.65,
11/09/2024,11/10/2024,A+VEH REG RENEW SV#12,Automotive,Sale,-160.50,
11/06/2024,11/06/2024,DicksSportingGoods.com,Shopping,Return,156.60,
11/06/2024,11/06/2024,DicksSportingGoods.com,Shopping,Return,81.00,
11/06/2024,11/06/2024,DicksSportingGoods.com,Shopping,Return,37.19,
11/03/2024,11/05/2024,1000 LIQUORS,Food & Drink,Sale,-3.97,
11/04/2024,11/04/2024,FANDANGO    *,Personal,Sale,-60.60,
11/01/2024,11/03/2024,STARBUCKS STORE 02218,Food & Drink,Sale,-3.63,
11/02/2024,11/03/2024,LA FITNESS,Health & Wellness,Sale,-49.95,
